Variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
household_furnishings_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
household_weight,1.0,1.004,1.007,1.01,1.015,1.018,1.021,1.024,1.024,1.024,1.024,1.024,1.024,1.024,1.024
housing_water_and_electricity_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
main_residence_value,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
miscellaneous_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
miscellaneous_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
mortgage_capital_repayment,1.0,1.09,1.181,1.172,1.145,1.15,1.18,1.222,1.267,1.267,1.267,1.267,1.267,1.267,1.267
mortgage_interest_repayment,1.0,0.985,1.139,1.631,2.087,2.056,2.132,2.254,2.358,2.358,2.358,2.358,2.358,2.358,2.358
net_financial_wealth,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
non_residential_property_value,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
other_residential_property_value,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
owned_land,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
pension_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
petrol_spending,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
private_pension_contributions,1.0,1.06,1.121,1.193,1.23,1.253,1.28,1.309,1.344,1.344,1.344,1.344,1.344,1.344,1.344
private_pension_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
property_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
recreation_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
rent,1.0,1.013,1.034,1.08,1.118,1.124,1.124,1.139,1.161,1.161,1.161,1.161,1.161,1.161,1.161
restaurants_and_hotels_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
savings,1.0,1.014,0.904,0.908,0.935,0.965,0.998,1.032,1.069,1.069,1.069,1.069,1.069,1.069,1.069
savings_interest_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
self_employment_income,1.0,1.03,1.053,1.116,1.159,1.206,1.259,1.316,1.378,1.378,1.378,1.378,1.378,1.378,1.378
state_pension,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
sublet_income,1.0,1.072,1.241,1.338,1.333,1.409,1.473,1.587,1.709,1.709,1.709,1.709,1.709,1.709,1.709
transport_consumption,1.0,1.039,1.144,1.209,1.229,1.248,1.269,1.294,1.32,1.32,1.32,1.32,1.32,1.32,1.32
