Variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
food_and_non_alcoholic_beverages_consumption,0,0.021,0.113,0.112,0.025,0.018,0.026,0.028,0.024,0.0,0.0,0.0,0.0,0.0,0.0
gross_financial_wealth,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
health_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
household_furnishings_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
household_weight,0,0.004,0.003,0.003,0.005,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
housing_water_and_electricity_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
main_residence_value,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
miscellaneous_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
miscellaneous_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
mortgage_capital_repayment,0,0.09,0.083,-0.008,-0.023,0.004,0.026,0.036,0.037,0.0,0.0,0.0,0.0,0.0,0.0
mortgage_interest_repayment,0,-0.015,0.156,0.432,0.28,-0.015,0.037,0.057,0.046,0.0,0.0,0.0,0.0,0.0,0.0
net_financial_wealth,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
non_residential_property_value,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
other_residential_property_value,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
owned_land,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
pension_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
petrol_spending,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
private_pension_contributions,0,0.06,0.058,0.064,0.031,0.019,0.022,0.023,0.027,0.0,0.0,0.0,0.0,0.0,0.0
private_pension_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
property_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
recreation_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
rent,0,0.013,0.021,0.044,0.035,0.005,0.0,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0
restaurants_and_hotels_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
savings,0,0.014,-0.108,0.004,0.03,0.032,0.034,0.034,0.036,0.0,0.0,0.0,0.0,0.0,0.0
savings_interest_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
self_employment_income,0,0.03,0.022,0.06,0.039,0.041,0.044,0.045,0.047,0.0,0.0,0.0,0.0,0.0,0.0
state_pension,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
sublet_income,0,0.072,0.158,0.078,-0.004,0.057,0.045,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0
transport_consumption,0,0.039,0.101,0.057,0.017,0.015,0.017,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
